phase,trade_id,action,entry_time,exit_time,entry_price,exit_price,size,stop_loss,take_profit,pnl,pnl_pct,net_pnl,net_pnl_pct,exit_reason,conviction,regime,reasoning
baseline,BT-202501010400-0,SHORT,2025-01-01T04:00:00+00:00,2025-01-02T04:00:00+00:00,93810.0,95000.0,0.05329922,95686.2,90057.6,-63.4260718,-0.01268521,-72.48316764,-0.01449663,MAX_DURATION,94,BEAR_TREND,"BEAR_TREND: state_conf=0.79, trend_strength=1.00, adx=17.1, hurst=1.00"
baseline,BT-202501032000-1,LONG,2025-01-03T20:00:00+00:00,2025-01-04T20:00:00+00:00,98545.6,98120.4,0.04608677,96574.688,102487.424,-19.5960946,-0.00431475,-27.75342916,-0.00555069,MAX_DURATION,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=27.3, hurst=1.00"
baseline,BT-202501060400-2,LONG,2025-01-06T04:00:00+00:00,2025-01-07T04:00:00+00:00,99005.0,101661.4,0.04966393,97024.9,102965.2,131.92726365,0.02683097,122.9579962,0.0245916,MAX_DURATION,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=30.6, hurst=1.00"
baseline,BT-202501071200-3,LONG,2025-01-07T12:00:00+00:00,2025-01-07T15:00:00+00:00,100787.0,98771.26,0.0500948,98771.26,104818.48,-100.97809215,-0.02,-109.97526036,-0.02199505,STOP_LOSS,95,BULL_TREND,"BULL_TREND: state_conf=0.87, trend_strength=1.00, adx=38.1, hurst=1.00"
baseline,BT-202501081600-4,LONG,2025-01-08T16:00:00+00:00,2025-01-08T17:15:00+00:00,95449.9,93540.902,0.05183795,93540.902,99267.896,-98.95854287,-0.02,-107.77576884,-0.02155515,STOP_LOSS,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=33.1, hurst=1.00"
baseline,BT-202501090000-5,LONG,2025-01-09T00:00:00+00:00,2025-01-09T08:00:00+00:00,95014.0,93113.72,0.05103425,93113.72,98814.56,-96.97936459,-0.02,-105.62024537,-0.02112405,STOP_LOSS,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=35.2, hurst=1.00"
training,BT-202501012000-0,SHORT,2025-01-01T20:00:00+00:00,2025-01-02T09:45:00+00:00,94612.1,96504.342,0.01321184,96504.342,90827.616,-24.99999855,-0.02,-27.27250341,-0.0054545,STOP_LOSS,95,BEAR_TREND,"BEAR_TREND: state_conf=0.95, trend_strength=1.00, adx=15.2, hurst=1.00"
training,BT-202501021200-1,SHORT,2025-01-02T12:00:00+00:00,2025-01-03T18:45:00+00:00,96715.4,98649.708,0.0128599,98649.708,92846.784,-24.87500745,-0.02,-27.1361506,-0.00542723,STOP_LOSS,90,BEAR_TREND,"BEAR_TREND: state_conf=0.53, trend_strength=1.00, adx=17.7, hurst=1.00"
training,BT-202501040000-2,SHORT,2025-01-04T00:00:00+00:00,2025-01-06T00:00:00+00:00,98145.7,98340.2,0.01260912,100108.614,94219.872,-2.45247384,-0.00198175,-4.68223719,-0.00093645,MAX_DURATION,94,BEAR_TREND,"BEAR_TREND: state_conf=0.68, trend_strength=1.00, adx=28.9, hurst=1.00"
training,BT-202501070800-3,SHORT,2025-01-07T08:00:00+00:00,2025-01-07T15:30:00+00:00,101649.3,97583.328,0.01216849,103682.286,97583.328,49.47673962,0.04,47.2948253,0.00945897,TAKE_PROFIT,95,BEAR_TREND,"BEAR_TREND: state_conf=0.92, trend_strength=1.00, adx=38.5, hurst=1.00"
training,BT-202501141600-4,LONG,2025-01-14T16:00:00+00:00,2025-01-15T20:00:00+00:00,96416.8,100273.472,0.01295715,94488.464,100273.472,49.9714776,0.04,47.67779678,0.00953556,TAKE_PROFIT,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=20.3, hurst=1.00"
training,BT-202501211200-5,SHORT,2025-01-21T12:00:00+00:00,2025-01-21T16:00:00+00:00,103725.0,105799.5,0.01216467,105799.5,99576.0,-25.23560792,-0.02,-27.52952972,-0.00550591,STOP_LOSS,95,BEAR_TREND,"BEAR_TREND: state_conf=1.00, trend_strength=1.00, adx=23.7, hurst=1.00"
training,BT-202501220000-6,SHORT,2025-01-22T00:00:00+00:00,2025-01-23T04:15:00+00:00,106115.4,101870.784,0.00757196,108237.708,101870.784,32.14006257,0.04,30.72269224,0.00614454,TAKE_PROFIT,95,BEAR_TREND,"BEAR_TREND: state_conf=1.00, trend_strength=1.00, adx=20.2, hurst=1.00"
training,BT-202501232000-7,SHORT,2025-01-23T20:00:00+00:00,2025-01-23T20:00:00+00:00,103713.7,105787.974,0.01218264,105787.974,99565.152,-25.2701334,-0.02,-27.56719358,-0.00551344,STOP_LOSS,95,BEAR_TREND,"BEAR_TREND: state_conf=1.00, trend_strength=1.00, adx=14.5, hurst=1.00"
training,BT-202501240000-8,SHORT,2025-01-24T00:00:00+00:00,2025-01-24T14:30:00+00:00,103864.0,105941.28,0.01210418,105941.28,99709.44,-25.14377103,-0.02,-27.42934485,-0.00548587,STOP_LOSS,95,BEAR_TREND,"BEAR_TREND: state_conf=1.00, trend_strength=1.00, adx=13.6, hurst=1.00"
training,BT-202501301600-9,LONG,2025-01-30T16:00:00+00:00,2025-01-31T18:30:00+00:00,105519.4,103409.012,0.01185472,103409.012,109740.176,-25.01805883,-0.02,-27.24717288,-0.00544943,STOP_LOSS,94,BULL_TREND,"BULL_TREND: state_conf=0.86, trend_strength=1.00, adx=11.7, hurst=1.00"
training,BT-202502010000-10,SHORT,2025-02-01T00:00:00+00:00,2025-02-02T12:45:00+00:00,102379.8,98284.608,0.00370794,104427.396,98284.608,15.18472622,0.04,14.51508283,0.00290302,TAKE_PROFIT,95,BEAR_TREND,"BEAR_TREND: state_conf=1.00, trend_strength=1.00, adx=11.5, hurst=1.00"
training,BT-202502021600-11,SHORT,2025-02-02T16:00:00+00:00,2025-02-03T00:30:00+00:00,99298.6,95326.656,0.01257263,101284.572,95326.656,49.93778229,0.04,47.73553608,0.00954711,TAKE_PROFIT,95,BEAR_TREND,"BEAR_TREND: state_conf=1.00, trend_strength=1.00, adx=20.2, hurst=1.00"
training,BT-202502030800-12,SHORT,2025-02-03T08:00:00+00:00,2025-02-03T15:15:00+00:00,95271.1,97176.522,0.01323517,97176.522,91460.256,-25.21858409,-0.02,-27.51095843,-0.00550219,STOP_LOSS,95,BEAR_TREND,"BEAR_TREND: state_conf=1.00, trend_strength=1.00, adx=31.7, hurst=1.00"
training,BT-202502060800-13,SHORT,2025-02-06T08:00:00+00:00,2025-02-08T08:00:00+00:00,98164.9,96153.4,0.01278078,100128.198,94238.304,25.70853897,0.02049103,23.47335861,0.00469467,MAX_DURATION,95,BEAR_TREND,"BEAR_TREND: state_conf=1.00, trend_strength=1.00, adx=24.9, hurst=1.00"
training,BT-202502122000-14,LONG,2025-02-12T20:00:00+00:00,2025-02-13T16:45:00+00:00,97156.7,95213.566,0.01297956,95213.566,101042.968,-25.22102434,-0.02,-27.46822265,-0.00549364,STOP_LOSS,92,BULL_TREND,"BULL_TREND: state_conf=0.67, trend_strength=1.00, adx=18.1, hurst=1.00"
training,BT-202502210800-15,SHORT,2025-02-21T08:00:00+00:00,2025-02-23T08:00:00+00:00,98129.9,96454.6,0.01278658,100092.498,94204.704,21.42135747,0.01707227,19.18209851,0.00383642,MAX_DURATION,93,BEAR_TREND,"BEAR_TREND: state_conf=0.68, trend_strength=1.00, adx=18.6, hurst=1.00"
training,BT-202502231200-16,SHORT,2025-02-23T12:00:00+00:00,2025-02-24T23:15:00+00:00,96064.2,92221.632,0.01311729,97985.484,92221.632,50.4040788,0.04,48.18126901,0.00963625,TAKE_PROFIT,91,BEAR_TREND,"BEAR_TREND: state_conf=0.60, trend_strength=1.00, adx=13.9, hurst=1.00"
training,BT-202503090400-17,SHORT,2025-03-09T04:00:00+00:00,2025-03-09T15:45:00+00:00,86077.1,82634.016,0.01478561,87798.642,82634.016,50.90809722,0.04,48.66306032,0.00973261,TAKE_PROFIT,91,BEAR_TREND,"BEAR_TREND: state_conf=0.58, trend_strength=1.00, adx=15.7, hurst=1.00"
training,BT-202503092000-18,SHORT,2025-03-09T20:00:00+00:00,2025-03-10T14:15:00+00:00,82605.0,79300.8,0.01556116,84257.1,79300.8,51.41718487,0.04,49.1496973,0.00982994,TAKE_PROFIT,95,BEAR_TREND,"BEAR_TREND: state_conf=1.00, trend_strength=1.00, adx=20.1, hurst=1.00"
training,BT-202503110800-19,SHORT,2025-03-11T08:00:00+00:00,2025-03-11T11:30:00+00:00,80386.0,81993.72,0.01615062,81993.72,77170.56,-25.96567479,-0.02,-28.32595982,-0.00566519,STOP_LOSS,93,BEAR_TREND,"BEAR_TREND: state_conf=0.60, trend_strength=1.00, adx=35.6, hurst=1.00"
