phase,timestamp,balance,equity,drawdown_pct,open_positions
baseline,2025-01-01T00:00:00+00:00,5000.0,5000.0,0.0,0
baseline,2025-01-01T04:00:00+00:00,5000.0,5000.0,0.0,0
baseline,2025-01-01T08:00:00+00:00,5000.0,5007.95757355,0.0,1
baseline,2025-01-01T12:00:00+00:00,5000.0,5020.78136588,0.0,1
baseline,2025-01-01T16:00:00+00:00,5000.0,4968.02579792,0.01050744,1
baseline,2025-01-01T20:00:00+00:00,5000.0,4957.24869564,0.01265394,1
baseline,2025-01-02T00:00:00+00:00,5000.0,4958.9116313,0.01232273,1
baseline,2025-01-02T04:00:00+00:00,5000.0,4936.5739282,0.01677178,1
baseline,2025-01-02T08:00:00+00:00,4900.00000344,4900.00000344,0.02405629,0
baseline,2025-01-02T12:00:00+00:00,4900.00000344,4900.00000344,0.02405629,0
baseline,2025-01-02T16:00:00+00:00,4900.00000344,4900.00000344,0.02405629,0
baseline,2025-01-02T20:00:00+00:00,4900.00000344,4900.00000344,0.02405629,0
baseline,2025-01-03T00:00:00+00:00,4900.00000344,4900.00000344,0.02405629,0
baseline,2025-01-03T04:00:00+00:00,4900.00000344,4900.00000344,0.02405629,0
baseline,2025-01-03T08:00:00+00:00,4900.00000344,4900.00000344,0.02405629,0
baseline,2025-01-03T12:00:00+00:00,4900.00000344,4900.00000344,0.02405629,0
baseline,2025-01-03T16:00:00+00:00,4900.00000344,4900.00000344,0.02405629,0
baseline,2025-01-03T20:00:00+00:00,4900.00000344,4900.00000344,0.02405629,0
baseline,2025-01-04T00:00:00+00:00,4900.00000344,4897.6735412,0.02451965,1
baseline,2025-01-04T04:00:00+00:00,4900.00000344,4897.69506635,0.02451537,1
baseline,2025-01-04T08:00:00+00:00,4900.00000344,4898.24657578,0.02440552,1
baseline,2025-01-04T12:00:00+00:00,4900.00000344,4895.84739342,0.02488337,1
baseline,2025-01-04T16:00:00+00:00,4900.00000344,4894.63616702,0.02512462,1
baseline,2025-01-04T20:00:00+00:00,4900.00000344,4897.5257739,0.02454909,1
baseline,2025-01-05T00:00:00+00:00,4900.00000344,4897.83352547,0.02448779,1
baseline,2025-01-05T04:00:00+00:00,4900.00000344,4897.75731478,0.02450297,1
baseline,2025-01-05T08:00:00+00:00,4900.00000344,4898.13662295,0.02442742,1
baseline,2025-01-05T12:00:00+00:00,4900.00000344,4894.55413871,0.02514095,1
baseline,2025-01-05T16:00:00+00:00,4900.00000344,4896.74795945,0.024704,1
baseline,2025-01-05T20:00:00+00:00,4900.00000344,4897.11679592,0.02463054,1
baseline,2025-01-06T00:00:00+00:00,4900.00000344,4898.80506634,0.02429429,1
baseline,2025-01-06T04:00:00+00:00,4900.00000344,4902.67261347,0.02352398,1
baseline,2025-01-06T08:00:00+00:00,4900.00000344,4904.27245622,0.02320533,1
baseline,2025-01-06T12:00:00+00:00,4900.00000344,4903.91932729,0.02327567,1
baseline,2025-01-06T16:00:00+00:00,4900.00000344,4920.70429567,0.01993257,1
baseline,2025-01-06T20:00:00+00:00,4900.00000344,4918.76819506,0.02031819,1
baseline,2025-01-07T00:00:00+00:00,4918.76819506,4918.76819506,0.02031819,0
baseline,2025-01-07T04:00:00+00:00,4918.76819506,4893.77492988,0.02529615,1
baseline,2025-01-07T08:00:00+00:00,4918.76819506,4893.19727352,0.0254112,1
baseline,2025-01-07T12:00:00+00:00,4918.76819506,4851.68785025,0.03367873,1
baseline,2025-01-07T16:00:00+00:00,4820.39283557,4820.39283557,0.03991182,0
baseline,2025-01-07T20:00:00+00:00,4820.39283557,4820.39283557,0.03991182,0
baseline,2025-01-08T00:00:00+00:00,4820.39283557,4820.39283557,0.03991182,0
baseline,2025-01-08T04:00:00+00:00,4820.39283557,4820.39283557,0.03991182,0
baseline,2025-01-08T08:00:00+00:00,4820.39283557,4820.39283557,0.03991182,0
baseline,2025-01-08T12:00:00+00:00,4820.39283557,4820.39283557,0.03991182,0
baseline,2025-01-08T16:00:00+00:00,4820.39283557,4820.39283557,0.03991182,0
baseline,2025-01-08T20:00:00+00:00,4723.98498128,4723.98498128,0.05911358,0
