phase,trade_id,action,entry_time,exit_time,entry_price,exit_price,size,stop_loss,take_profit,pnl,pnl_pct,net_pnl,net_pnl_pct,exit_reason,conviction,regime,reasoning
baseline,BT-202501032000-0,LONG,2025-01-03T20:00:00+00:00,2025-01-04T20:00:00+00:00,98545.6,98120.4,100.0,96574.688,102487.424,-42520.0,-0.00431475,-60219.948504,-12.0439897,MAX_DURATION,75,BULL_TREND,Mock decision based on BULL_TREND
training,BT-202501031600-0,LONG,2025-01-03T16:00:00+00:00,2025-01-05T16:00:00+00:00,97479.6,97987.1,25.0,95530.008,101378.784,12687.5,0.00520622,8289.5017875,1.65790036,MAX_DURATION,75,BULL_TREND,Mock decision based on BULL_TREND
training,BT-202501060400-1,LONG,2025-01-06T04:00:00+00:00,2025-01-07T17:30:00+00:00,99005.0,97024.9,88.4375,97024.9,102965.2,-175115.09375,-0.02,-190717.88362614,-38.14357673,STOP_LOSS,75,BULL_TREND,Mock decision based on BULL_TREND
test,BT-202601050000-0,LONG,2026-01-05T00:00:00+00:00,2026-01-07T00:00:00+00:00,91580.43,93751.84,25.0,89748.8214,95243.6472,54285.25,0.02371041,50115.28478205,10.02305696,MAX_DURATION,75,BULL_TREND,Mock decision based on BULL_TREND
test,BT-202601070800-1,LONG,2026-01-07T08:00:00+00:00,2026-01-07T15:15:00+00:00,92864.08,91006.7984,296.42625,91006.7984,96578.6432,-550547.019882,-0.02,-599600.86946289,-119.92017389,STOP_LOSS,75,BULL_TREND,Mock decision based on BULL_TREND
