phase,trade_id,action,entry_time,exit_time,entry_price,exit_price,size,stop_loss,take_profit,pnl,pnl_pct,net_pnl,net_pnl_pct,exit_reason,conviction,regime,reasoning
training,BT-202603020000-0,LONG,2026-03-02T00:00:00+00:00,2026-03-02T16:45:00+00:00,65958.92,69916.4552,0.03790238,64969.5362,69916.4552,150.00000301,0.06,145.36503292,0.02907301,TAKE_PROFIT,93,BULL_TREND,"BULL_TREND: state_conf=0.74, trend_strength=1.00, adx=15.5, hurst=1.00"
training,BT-202603070000-1,LONG,2026-03-07T00:00:00+00:00,2026-03-07T19:45:00+00:00,68187.44,67164.6284,0.03776355,67164.6284,72278.6864,-38.624997,-0.015,-43.22524186,-0.00864505,STOP_LOSS,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=18.6, hurst=1.00"
training,BT-202603072000-2,LONG,2026-03-07T20:00:00+00:00,2026-03-08T11:45:00+00:00,67222.35,67543.89,0.03801842,66214.01475,71255.691,12.22444277,0.00478323,7.61320565,0.00152264,FORCED_FINAL_CLOSE,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=21.3, hurst=1.00"
test,BT-202603090000-0,SHORT,2026-03-09T00:00:00+00:00,2026-03-09T03:00:00+00:00,65994.77,66984.69155,0.03788179,66984.69155,62035.0838,-37.50000027,-0.015,-42.03375781,-0.00840675,STOP_LOSS,95,BEAR_TREND,"BEAR_TREND: state_conf=0.94, trend_strength=1.00, adx=26.1, hurst=1.00"
test,BT-202603090400-1,SHORT,2026-03-09T04:00:00+00:00,2026-03-09T09:30:00+00:00,67228.63,68237.05945,0.03690764,68237.05945,63194.9122,-37.21875111,-0.015,-41.71850556,-0.0083437,STOP_LOSS,95,BEAR_TREND,"BEAR_TREND: state_conf=1.00, trend_strength=1.00, adx=26.9, hurst=1.00"
test,BT-202603151200-2,LONG,2026-03-15T12:00:00+00:00,2026-03-16T12:00:00+00:00,71853.86,73541.09,0.03427291,70776.0521,76165.0916,57.82628194,0.02348141,53.34149627,0.0106683,MAX_DURATION,95,BULL_TREND,"BULL_TREND: state_conf=0.93, trend_strength=1.00, adx=30.2, hurst=1.00"
test,BT-202603161600-3,LONG,2026-03-16T16:00:00+00:00,2026-03-17T16:00:00+00:00,73194.22,73944.44,0.03404031,72096.3067,77585.8732,25.53772137,0.01024972,21.02994544,0.00420599,MAX_DURATION,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=38.5, hurst=1.00"
test,BT-202603172000-4,LONG,2026-03-17T20:00:00+00:00,2026-03-18T11:30:00+00:00,74505.51,73387.92735,0.03361258,73387.92735,78975.8406,-37.56483623,-0.015,-42.03881574,-0.00840776,STOP_LOSS,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=43.7, hurst=1.00"
test,BT-202603181200-5,LONG,2026-03-18T12:00:00+00:00,2026-03-18T14:15:00+00:00,72916.33,71822.58505,0.03408757,71822.58505,77291.3098,-37.28310755,-0.015,-41.72353311,-0.00834471,STOP_LOSS,95,BULL_TREND,"BULL_TREND: state_conf=0.96, trend_strength=1.00, adx=41.1, hurst=1.00"
test,BT-202603221200-6,SHORT,2026-03-22T12:00:00+00:00,2026-03-23T11:00:00+00:00,68265.66,69289.6449,0.03613674,69289.6449,64169.7204,-37.0034761,-0.015,-41.47720376,-0.00829544,STOP_LOSS,95,BEAR_TREND,"BEAR_TREND: state_conf=1.00, trend_strength=1.00, adx=31.0, hurst=1.00"
test,BT-202603231600-7,LONG,2026-03-23T16:00:00+00:00,2026-03-24T16:00:00+00:00,70144.47,69836.18,0.03490506,69092.30295,74353.1382,-10.76088095,-0.00439507,-15.15831279,-0.00303166,MAX_DURATION,92,BULL_TREND,"BULL_TREND: state_conf=0.53, trend_strength=1.00, adx=32.7, hurst=1.00"
test,BT-202603250000-8,LONG,2026-03-25T00:00:00+00:00,2026-03-26T00:00:00+00:00,70553.39,71307.68,0.03462649,69495.08915,74786.5934,26.11841514,0.01069105,21.69748454,0.0043395,MAX_DURATION,95,BULL_TREND,"BULL_TREND: state_conf=0.98, trend_strength=1.00, adx=22.8, hurst=1.00"
test,BT-202603260400-9,LONG,2026-03-26T04:00:00+00:00,2026-03-26T09:30:00+00:00,70843.86,69781.2021,0.03466886,69781.2021,75094.4916,-36.84113796,-0.015,-41.22892486,-0.00824578,STOP_LOSS,95,BULL_TREND,"BULL_TREND: state_conf=0.99, trend_strength=1.00, adx=15.6, hurst=1.00"
test,BT-202603270800-10,SHORT,2026-03-27T08:00:00+00:00,2026-03-28T08:00:00+00:00,68515.09,66527.22,0.0157968,69542.81635,64404.1846,31.40198482,0.02901361,29.48207837,0.00589642,MAX_DURATION,95,BEAR_TREND,"BEAR_TREND: state_conf=0.88, trend_strength=1.00, adx=20.6, hurst=1.00"
