phase,timestamp,balance,equity,drawdown_pct,open_positions
baseline,2025-01-01T00:00:00+00:00,5000.0,5000.0,0.0,0
baseline,2025-01-01T04:00:00+00:00,5000.0,5000.0,0.0,0
baseline,2025-01-01T08:00:00+00:00,5000.0,5019.89393387,0.0,1
baseline,2025-01-01T12:00:00+00:00,5000.0,5051.95341469,0.0,1
baseline,2025-01-01T16:00:00+00:00,5000.0,4920.06449481,0.02610652,1
baseline,2025-01-01T20:00:00+00:00,5000.0,4893.12173909,0.03143966,1
baseline,2025-01-02T00:00:00+00:00,5000.0,4897.27907826,0.03061674,1
baseline,2025-01-02T04:00:00+00:00,5000.0,4841.4348205,0.04167073,1
baseline,2025-01-02T08:00:00+00:00,4841.4348205,4841.4348205,0.04167073,0
baseline,2025-01-02T12:00:00+00:00,4841.4348205,4841.4348205,0.04167073,0
baseline,2025-01-02T16:00:00+00:00,4841.4348205,4841.4348205,0.04167073,0
baseline,2025-01-02T20:00:00+00:00,4841.4348205,4841.4348205,0.04167073,0
baseline,2025-01-03T00:00:00+00:00,4841.4348205,4841.4348205,0.04167073,0
baseline,2025-01-03T04:00:00+00:00,4841.4348205,4841.4348205,0.04167073,0
baseline,2025-01-03T08:00:00+00:00,4841.4348205,4841.4348205,0.04167073,0
baseline,2025-01-03T12:00:00+00:00,4841.4348205,4841.4348205,0.04167073,0
baseline,2025-01-03T16:00:00+00:00,4841.4348205,4841.4348205,0.04167073,0
baseline,2025-01-03T20:00:00+00:00,4841.4348205,4841.4348205,0.04167073,0
baseline,2025-01-04T00:00:00+00:00,4841.4348205,4839.71082761,0.04201198,1
baseline,2025-01-04T04:00:00+00:00,4841.4348205,4839.72677853,0.04200883,1
baseline,2025-01-04T08:00:00+00:00,4841.4348205,4840.13546702,0.04192793,1
baseline,2025-01-04T12:00:00+00:00,4841.4348205,4838.35758587,0.04227985,1
baseline,2025-01-04T16:00:00+00:00,4841.4348205,4837.46002318,0.04245752,1
baseline,2025-01-04T20:00:00+00:00,4841.4348205,4839.60132668,0.04203366,1
baseline,2025-01-05T00:00:00+00:00,4839.60175779,4839.60175779,0.04203357,0
baseline,2025-01-05T04:00:00+00:00,4839.60175779,4839.60175779,0.04203357,0
baseline,2025-01-05T08:00:00+00:00,4839.60175779,4839.60175779,0.04203357,0
baseline,2025-01-05T12:00:00+00:00,4839.60175779,4839.60175779,0.04203357,0
baseline,2025-01-05T16:00:00+00:00,4839.60175779,4839.60175779,0.04203357,0
baseline,2025-01-05T20:00:00+00:00,4839.60175779,4839.60175779,0.04203357,0
baseline,2025-01-06T00:00:00+00:00,4839.60175779,4839.60175779,0.04203357,0
baseline,2025-01-06T04:00:00+00:00,4839.60175779,4839.60175779,0.04203357,0
baseline,2025-01-06T08:00:00+00:00,4839.60175779,4873.20840504,0.03538137,1
baseline,2025-01-06T12:00:00+00:00,4839.60175779,4865.79050144,0.03684969,1
baseline,2025-01-06T16:00:00+00:00,4839.60175779,5218.37922379,0.0,1
baseline,2025-01-06T20:00:00+00:00,4839.60175779,5177.70907032,0.00779364,1
baseline,2025-01-07T00:00:00+00:00,4839.60175779,5227.65465843,0.0,1
baseline,2025-01-07T04:00:00+00:00,4839.60175779,5164.21752902,0.01213491,1
baseline,2025-01-07T08:00:00+00:00,5164.22974962,5164.22974962,0.01213257,0
baseline,2025-01-07T12:00:00+00:00,5164.22974962,5164.22974962,0.01213257,0
baseline,2025-01-07T16:00:00+00:00,4906.01825309,4906.01825309,0.06152595,0
baseline,2025-01-07T20:00:00+00:00,4906.01825309,4906.01825309,0.06152595,0
baseline,2025-01-08T00:00:00+00:00,4906.01825309,4906.01825309,0.06152595,0
baseline,2025-01-08T04:00:00+00:00,4906.01825309,4906.01825309,0.06152595,0
baseline,2025-01-08T08:00:00+00:00,4906.01825309,4906.01825309,0.06152595,0
baseline,2025-01-08T12:00:00+00:00,4906.01825309,4906.01825309,0.06152595,0
baseline,2025-01-08T16:00:00+00:00,4906.01825309,4906.01825309,0.06152595,0
baseline,2025-01-08T20:00:00+00:00,4660.71733619,4660.71733619,0.10844965,0
