phase,trade_id,action,entry_time,exit_time,entry_price,exit_price,size,stop_loss,take_profit,pnl,pnl_pct,net_pnl,net_pnl_pct,exit_reason,conviction,regime,reasoning
baseline,BT-202501010400-0,SHORT,2025-01-01T04:00:00+00:00,2025-01-02T04:00:00+00:00,93810.0,95000.0,0.13324805,95686.2,89119.5,-158.5651795,-0.01268521,-181.2079191,-0.03624158,MAX_DURATION,94,BEAR_TREND,"BEAR_TREND: state_conf=0.79, trend_strength=1.00, adx=17.1, hurst=1.00"
baseline,BT-202501032000-1,LONG,2025-01-03T20:00:00+00:00,2025-01-04T20:00:00+00:00,98545.6,98120.4,0.00431106,96574.688,103472.88,-1.83306271,-0.00431475,-2.59611811,-0.00051922,MAX_DURATION,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=27.3, hurst=1.00"
baseline,BT-202501060400-2,LONG,2025-01-06T04:00:00+00:00,2025-01-07T04:00:00+00:00,99005.0,101661.4,0.12220599,97024.9,103955.25,324.62799184,0.02683097,302.5576843,0.06051154,MAX_DURATION,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=30.6, hurst=1.00"
baseline,BT-202501071200-3,LONG,2025-01-07T12:00:00+00:00,2025-01-07T15:00:00+00:00,100787.0,98771.26,0.12809762,98771.26,105826.35,-258.21149654,-0.02,-281.21819252,-0.05624364,STOP_LOSS,95,BULL_TREND,"BULL_TREND: state_conf=0.87, trend_strength=1.00, adx=38.1, hurst=1.00"
baseline,BT-202501081600-4,LONG,2025-01-08T16:00:00+00:00,2025-01-08T17:15:00+00:00,95449.9,93540.902,0.12849721,93540.902,100222.395,-245.3009169,-0.02,-267.15727765,-0.05343146,STOP_LOSS,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=33.1, hurst=1.00"
baseline,BT-202501090000-5,LONG,2025-01-09T00:00:00+00:00,2025-01-09T08:00:00+00:00,95014.0,93113.72,0.12263238,93113.72,99764.7,-233.03585907,-0.02,-253.79940072,-0.05075988,STOP_LOSS,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=35.2, hurst=1.00"
baseline,BT-202501100000-6,LONG,2025-01-10T00:00:00+00:00,2025-01-11T00:00:00+00:00,92506.0,94675.6,0.11965931,90655.88,97131.3,259.61283898,0.02345361,239.45467191,0.04789093,MAX_DURATION,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=39.5, hurst=1.00"
baseline,BT-202501110400-7,LONG,2025-01-11T04:00:00+00:00,2025-01-12T04:00:00+00:00,94168.3,94586.0,0.11613918,92284.934,98876.715,48.51133549,0.00443568,28.78175253,0.00575635,MAX_DURATION,92,BULL_TREND,"BULL_TREND: state_conf=0.56, trend_strength=1.00, adx=32.3, hurst=1.00"
baseline,BT-202501120800-8,SHORT,2025-01-12T08:00:00+00:00,2025-01-13T08:00:00+00:00,94291.2,93557.9,0.1255633,96177.024,89576.64,92.07556789,0.00777697,70.8473287,0.01416947,MAX_DURATION,95,BEAR_TREND,"BEAR_TREND: state_conf=1.00, trend_strength=1.00, adx=27.5, hurst=1.00"
baseline,BT-202501131600-9,LONG,2025-01-13T16:00:00+00:00,2025-01-14T09:30:00+00:00,92093.7,96698.385,0.13105894,90251.826,96698.385,603.48513513,0.05,581.21665434,0.11624333,TAKE_PROFIT,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=23.5, hurst=1.00"
baseline,BT-202501151600-10,LONG,2025-01-15T16:00:00+00:00,2025-01-16T16:00:00+00:00,98943.3,99258.2,0.13723431,96964.434,103890.465,43.21508422,0.00318263,18.73505138,0.00374701,MAX_DURATION,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=17.7, hurst=1.00"
baseline,BT-202501162000-11,LONG,2025-01-16T20:00:00+00:00,2025-01-17T19:15:00+00:00,100382.0,105401.1,0.1363437,98374.36,105401.1,684.32266467,0.05,659.07129521,0.13181426,TAKE_PROFIT,95,BULL_TREND,"BULL_TREND: state_conf=0.97, trend_strength=1.00, adx=20.2, hurst=1.00"
baseline,BT-202501180000-12,LONG,2025-01-18T00:00:00+00:00,2025-01-19T00:00:00+00:00,104042.6,104524.3,0.14798996,101961.748,109244.73,71.28676373,0.00462983,43.50755152,0.00870151,MAX_DURATION,95,BULL_TREND,"BULL_TREND: state_conf=0.99, trend_strength=1.00, adx=27.7, hurst=1.00"
baseline,BT-202501191200-13,LONG,2025-01-19T12:00:00+00:00,2025-01-19T22:45:00+00:00,104353.8,102266.724,0.14925644,102266.724,109571.49,-311.50953377,-0.02,-339.26509553,-0.06785302,STOP_LOSS,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=31.7, hurst=1.00"
baseline,BT-202501250400-14,SHORT,2025-01-25T04:00:00+00:00,2025-01-26T04:00:00+00:00,105153.9,105036.6,0.11929795,107256.978,99896.205,13.99364953,0.00111551,-8.57411385,-0.00171482,MAX_DURATION,95,BEAR_TREND,"BEAR_TREND: state_conf=0.95, trend_strength=1.00, adx=12.3, hurst=1.00"
baseline,BT-202501260800-15,SHORT,2025-01-26T08:00:00+00:00,2025-01-27T05:45:00+00:00,104963.7,99715.515,0.08431551,107062.974,99715.515,442.50339485,0.05,426.97161419,0.08539432,TAKE_PROFIT,95,BEAR_TREND,"BEAR_TREND: state_conf=1.00, trend_strength=1.00, adx=11.0, hurst=1.00"
baseline,BT-202501271600-16,LONG,2025-01-27T16:00:00+00:00,2025-01-27T17:15:00+00:00,101070.8,99049.384,0.15769091,99049.384,106124.34,-318.75892853,-0.02,-347.16041281,-0.06943208,STOP_LOSS,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=17.6, hurst=1.00"
baseline,BT-202501272000-17,LONG,2025-01-27T20:00:00+00:00,2025-01-28T20:00:00+00:00,99660.3,102368.7,0.15192658,97667.094,104643.315,411.47794927,0.02717632,383.85381404,0.07677076,MAX_DURATION,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=17.7, hurst=1.00"
baseline,BT-202501292000-18,LONG,2025-01-29T20:00:00+00:00,2025-01-30T20:00:00+00:00,103550.6,105659.9,0.15615306,101479.588,108728.13,329.37364946,0.02036975,299.97174155,0.05999435,MAX_DURATION,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=11.0, hurst=1.00"
baseline,BT-202502051600-19,LONG,2025-02-05T16:00:00+00:00,2025-02-06T16:00:00+00:00,98063.3,97285.7,0.06784219,96102.034,102966.465,-52.75408694,-0.00792957,-64.68171107,-0.01293634,MAX_DURATION,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=25.2, hurst=1.00"
baseline,BT-202502070000-20,SHORT,2025-02-07T00:00:00+00:00,2025-02-07T13:30:00+00:00,96515.0,98445.3,0.17470126,98445.3,91689.25,-337.22584218,-0.02,-367.87973868,-0.07357595,STOP_LOSS,95,BEAR_TREND,"BEAR_TREND: state_conf=0.95, trend_strength=1.00, adx=23.9, hurst=1.00"
baseline,BT-202502080000-21,SHORT,2025-02-08T00:00:00+00:00,2025-02-09T00:00:00+00:00,96454.5,96412.0,0.1660703,98383.59,91631.775,7.05798775,0.00044062,-21.7684686,-0.00435369,MAX_DURATION,95,BEAR_TREND,"BEAR_TREND: state_conf=1.00, trend_strength=1.00, adx=19.3, hurst=1.00"
baseline,BT-202502090400-22,SHORT,2025-02-09T04:00:00+00:00,2025-02-10T04:00:00+00:00,97278.3,96770.0,0.16484532,99223.866,92414.385,83.79087616,0.00522521,55.00173422,0.01100035,MAX_DURATION,95,BEAR_TREND,"BEAR_TREND: state_conf=0.98, trend_strength=1.00, adx=15.1, hurst=1.00"
baseline,BT-202502112000-23,SHORT,2025-02-11T20:00:00+00:00,2025-02-12T16:45:00+00:00,94988.0,96887.76,0.17102529,96887.76,90238.6,-324.90700493,-0.02,-354.44111666,-0.07088822,STOP_LOSS,95,BEAR_TREND,"BEAR_TREND: state_conf=1.00, trend_strength=1.00, adx=12.5, hurst=1.00"
baseline,BT-202502142000-24,SHORT,2025-02-14T20:00:00+00:00,2025-02-15T20:00:00+00:00,97898.4,97497.0,0.15764387,99856.368,93003.48,63.27824942,0.00410017,35.55566374,0.00711113,MAX_DURATION,95,BEAR_TREND,"BEAR_TREND: state_conf=0.98, trend_strength=1.00, adx=19.2, hurst=1.00"
baseline,BT-202502190400-25,LONG,2025-02-19T04:00:00+00:00,2025-02-20T04:00:00+00:00,95672.2,97017.4,0.01070684,93758.756,100455.81,14.40284117,0.01406051,12.546057,0.00250921,MAX_DURATION,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=16.1, hurst=1.00"
baseline,BT-202502201600-26,SHORT,2025-02-20T16:00:00+00:00,2025-02-21T09:15:00+00:00,96871.1,98808.522,0.01843892,98808.522,92027.545,-35.72396926,-0.02,-38.97128522,-0.00779426,STOP_LOSS,95,BEAR_TREND,"BEAR_TREND: state_conf=1.00, trend_strength=1.00, adx=13.7, hurst=1.00"
baseline,BT-202502270800-27,LONG,2025-02-27T08:00:00+00:00,2025-02-27T16:45:00+00:00,86228.0,84503.44,0.09584647,84503.44,90539.4,-165.2929883,-0.02,-180.02062662,-0.03600413,STOP_LOSS,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=48.9, hurst=1.00"
baseline,BT-202502280000-28,LONG,2025-02-28T00:00:00+00:00,2025-02-28T01:30:00+00:00,84668.2,82974.836,0.01688105,82974.836,88901.61,-28.58576235,-0.02,-31.13275949,-0.00622655,STOP_LOSS,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=50.8, hurst=1.00"
baseline,BT-202503011600-29,LONG,2025-03-01T16:00:00+00:00,2025-03-02T16:00:00+00:00,84755.0,87390.1,0.03740452,83059.9,88992.75,98.56465065,0.03109079,92.76956601,0.01855391,MAX_DURATION,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=41.4, hurst=1.00"
baseline,BT-202503161200-30,SHORT,2025-03-16T12:00:00+00:00,2025-03-16T16:00:00+00:00,82367.9,84015.258,0.10816118,84015.258,78249.505,-178.18018516,-0.02,-194.37679963,-0.03887536,STOP_LOSS,95,BEAR_TREND,"BEAR_TREND: state_conf=0.98, trend_strength=1.00, adx=13.9, hurst=1.00"
baseline,BT-202503170800-31,SHORT,2025-03-17T08:00:00+00:00,2025-03-18T08:00:00+00:00,83525.3,83124.7,0.04881741,85195.806,79349.035,19.55625445,0.00479615,12.23437912,0.00244688,MAX_DURATION,95,BEAR_TREND,"BEAR_TREND: state_conf=0.98, trend_strength=1.00, adx=11.2, hurst=1.00"
baseline,BT-202503181200-32,SHORT,2025-03-18T12:00:00+00:00,2025-03-19T12:00:00+00:00,82550.1,83848.5,0.15354448,84201.102,78422.595,-199.36215283,-0.01572863,-222.35682056,-0.04447136,MAX_DURATION,95,BEAR_TREND,"BEAR_TREND: state_conf=1.00, trend_strength=1.00, adx=9.6, hurst=1.00"
baseline,BT-202503201200-33,LONG,2025-03-20T12:00:00+00:00,2025-03-20T16:30:00+00:00,85462.9,83753.642,0.09450568,83753.642,89736.045,-161.53458959,-0.02,-175.92735382,-0.03518547,STOP_LOSS,95,BULL_TREND,"BULL_TREND: state_conf=0.98, trend_strength=1.00, adx=17.1, hurst=1.00"
baseline,BT-202503202000-34,LONG,2025-03-20T20:00:00+00:00,2025-03-21T20:00:00+00:00,84129.3,83925.0,0.09436075,82446.714,88335.765,-19.27790123,-0.0024284,-33.54986189,-0.00670997,MAX_DURATION,92,BULL_TREND,"BULL_TREND: state_conf=0.64, trend_strength=1.00, adx=17.1, hurst=1.00"
baseline,BT-202503232000-35,LONG,2025-03-23T20:00:00+00:00,2025-03-24T20:00:00+00:00,84966.7,88162.3,0.03177534,83267.366,89215.035,101.5412765,0.03761003,96.59018726,0.01931804,MAX_DURATION,90,BULL_TREND,"BULL_TREND: state_conf=0.58, trend_strength=1.00, adx=10.0, hurst=1.00"
baseline,BT-202503250000-36,LONG,2025-03-25T00:00:00+00:00,2025-03-26T00:00:00+00:00,87463.4,87369.9,0.13975346,85714.132,91836.57,-13.06694851,-0.00106902,-35.05715386,-0.00701143,MAX_DURATION,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=25.2, hurst=1.00"
baseline,BT-202504060800-37,SHORT,2025-04-06T08:00:00+00:00,2025-04-06T18:45:00+00:00,82990.9,78841.355,0.17078836,84650.718,78841.355,708.6939853,0.05,683.81896815,0.13676379,TAKE_PROFIT,95,BEAR_TREND,"BEAR_TREND: state_conf=0.95, trend_strength=1.00, adx=9.0, hurst=1.00"
baseline,BT-202504102000-38,SHORT,2025-04-10T20:00:00+00:00,2025-04-11T06:45:00+00:00,79611.1,81203.322,0.20029386,81203.322,75630.545,-318.91229036,-0.02,-347.90148133,-0.0695803,STOP_LOSS,95,BEAR_TREND,"BEAR_TREND: state_conf=1.00, trend_strength=1.00, adx=18.0, hurst=1.00"
baseline,BT-202504120000-39,SHORT,2025-04-12T00:00:00+00:00,2025-04-12T14:30:00+00:00,83378.3,85045.866,0.18168197,85045.866,79209.385,-302.96667599,-0.02,-330.50640743,-0.06610128,STOP_LOSS,95,BEAR_TREND,"BEAR_TREND: state_conf=1.00, trend_strength=1.00, adx=16.1, hurst=1.00"
baseline,BT-202504141600-40,LONG,2025-04-14T16:00:00+00:00,2025-04-15T16:00:00+00:00,84054.4,84871.9,0.17120956,82373.312,88257.12,139.9638153,0.00972584,113.93422555,0.02278685,MAX_DURATION,95,BULL_TREND,"BULL_TREND: state_conf=0.92, trend_strength=1.00, adx=22.5, hurst=1.00"
baseline,BT-202504152000-41,LONG,2025-04-15T20:00:00+00:00,2025-04-16T20:00:00+00:00,83954.5,84286.0,0.17558114,82275.41,88152.225,58.20514791,0.00394857,31.61928665,0.00632386,MAX_DURATION,92,BULL_TREND,"BULL_TREND: state_conf=0.58, trend_strength=1.00, adx=24.0, hurst=1.00"
baseline,BT-202504210400-42,LONG,2025-04-21T04:00:00+00:00,2025-04-22T04:00:00+00:00,87166.6,88111.0,0.15016713,85423.268,91524.93,141.81783757,0.01083443,118.1290252,0.02362581,MAX_DURATION,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=17.9, hurst=1.00"
baseline,BT-202504220800-43,LONG,2025-04-22T08:00:00+00:00,2025-04-22T21:45:00+00:00,88434.9,92856.645,0.17234015,86666.202,92856.645,762.04419656,0.05,733.92491812,0.14678498,TAKE_PROFIT,95,BULL_TREND,"BULL_TREND: state_conf=0.94, trend_strength=1.00, adx=26.2, hurst=1.00"
baseline,BT-202504231200-44,LONG,2025-04-23T12:00:00+00:00,2025-04-24T12:00:00+00:00,93425.2,92575.2,0.18352644,91556.696,98096.46,-155.997474,-0.00909819,-186.71989733,-0.03734398,MAX_DURATION,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=43.7, hurst=1.00"
baseline,BT-202504281600-45,LONG,2025-04-28T16:00:00+00:00,2025-04-29T16:00:00+00:00,93772.7,94790.6,0.17868741,91897.246,98461.335,181.88591464,0.01085497,151.56145209,0.03031229,MAX_DURATION,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=34.2, hurst=1.00"
baseline,BT-202504301600-46,LONG,2025-04-30T16:00:00+00:00,2025-05-01T16:00:00+00:00,93948.4,96793.9,0.18319328,92069.432,98645.82,521.27647824,0.0302879,489.82814568,0.09796563,MAX_DURATION,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=21.4, hurst=1.00"
baseline,BT-202505021600-47,LONG,2025-05-02T16:00:00+00:00,2025-05-03T16:00:00+00:00,97270.1,96358.7,0.19033502,95324.698,102133.605,-173.47133723,-0.00936979,-206.64027929,-0.04132806,MAX_DURATION,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=22.5, hurst=1.00"
baseline,BT-202505061600-48,LONG,2025-05-06T16:00:00+00:00,2025-05-07T16:00:00+00:00,94513.2,96889.0,0.19129845,92622.936,99238.86,454.48685751,0.02513723,421.53349864,0.0843067,MAX_DURATION,91,BULL_TREND,"BULL_TREND: state_conf=0.50, trend_strength=1.00, adx=24.5, hurst=1.00"
baseline,BT-202505072000-49,LONG,2025-05-07T20:00:00+00:00,2025-05-08T15:15:00+00:00,96124.5,100930.725,0.19991205,94202.01,100930.725,960.82229251,0.05,925.36814208,0.18507363,TAKE_PROFIT,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=24.3, hurst=1.00"
baseline,BT-202505081600-50,LONG,2025-05-08T16:00:00+00:00,2025-05-09T16:00:00+00:00,100730.9,102853.0,0.21461638,98716.282,105767.445,455.43742,0.02106702,416.11431541,0.08322286,MAX_DURATION,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=29.0, hurst=1.00"
baseline,BT-202505140800-51,LONG,2025-05-14T08:00:00+00:00,2025-05-15T08:00:00+00:00,103662.2,101734.0,0.21953127,101588.956,108845.31,-423.30019481,-0.0186008,-463.88207925,-0.09277642,MAX_DURATION,95,BULL_TREND,"BULL_TREND: state_conf=0.91, trend_strength=1.00, adx=36.0, hurst=1.00"
