phase,timestamp,balance,equity,drawdown_pct,open_positions
baseline,2025-01-01T00:00:00+00:00,5000.0,5000.0,0.0,0
baseline,2025-01-01T04:00:00+00:00,5000.0,5000.0,0.0,0
baseline,2025-01-01T08:00:00+00:00,5000.0,5009.94696768,0.0,1
baseline,2025-01-01T12:00:00+00:00,5000.0,5025.9767093,0.0,1
baseline,2025-01-01T16:00:00+00:00,5000.0,4960.0322444,0.01312073,1
baseline,2025-01-01T20:00:00+00:00,5000.0,4946.56086554,0.01580108,1
baseline,2025-01-02T00:00:00+00:00,5000.0,4948.63953527,0.01538749,1
baseline,2025-01-02T04:00:00+00:00,5000.0,4920.7174043,0.02094305,1
baseline,2025-01-02T08:00:00+00:00,4920.7174043,4920.7174043,0.02094305,0
baseline,2025-01-02T12:00:00+00:00,4920.7174043,4920.7174043,0.02094305,0
baseline,2025-01-02T16:00:00+00:00,4920.7174043,4920.7174043,0.02094305,0
baseline,2025-01-02T20:00:00+00:00,4920.7174043,4920.7174043,0.02094305,0
baseline,2025-01-03T00:00:00+00:00,4920.7174043,4920.7174043,0.02094305,0
baseline,2025-01-03T04:00:00+00:00,4920.7174043,4920.7174043,0.02094305,0
baseline,2025-01-03T08:00:00+00:00,4920.7174043,4920.7174043,0.02094305,0
baseline,2025-01-03T12:00:00+00:00,4920.7174043,4920.7174043,0.02094305,0
baseline,2025-01-03T16:00:00+00:00,4920.7174043,4920.7174043,0.02094305,0
baseline,2025-01-03T20:00:00+00:00,4920.7174043,4920.7174043,0.02094305,0
baseline,2025-01-04T00:00:00+00:00,4920.7174043,4919.35456509,0.02121421,1
baseline,2025-01-04T04:00:00+00:00,4920.7174043,4919.36717451,0.0212117,1
baseline,2025-01-04T08:00:00+00:00,4920.7174043,4919.69024817,0.02114742,1
baseline,2025-01-04T12:00:00+00:00,4920.7174043,4918.28480959,0.02142706,1
baseline,2025-01-04T16:00:00+00:00,4920.7174043,4917.5752744,0.02156823,1
baseline,2025-01-04T20:00:00+00:00,4920.7174043,4919.26800316,0.02123144,1
baseline,2025-01-05T00:00:00+00:00,4919.26834396,4919.26834396,0.02123137,0
baseline,2025-01-05T04:00:00+00:00,4919.26834396,4919.26834396,0.02123137,0
baseline,2025-01-05T08:00:00+00:00,4919.26834396,4919.26834396,0.02123137,0
baseline,2025-01-05T12:00:00+00:00,4919.26834396,4919.26834396,0.02123137,0
baseline,2025-01-05T16:00:00+00:00,4919.26834396,4919.26834396,0.02123137,0
baseline,2025-01-05T20:00:00+00:00,4919.26834396,4919.26834396,0.02123137,0
baseline,2025-01-06T00:00:00+00:00,4919.26834396,4919.26834396,0.02123137,0
baseline,2025-01-06T04:00:00+00:00,4919.26834396,4919.26834396,0.02123137,0
baseline,2025-01-06T08:00:00+00:00,4919.26834396,4936.34827496,0.01783304,1
baseline,2025-01-06T12:00:00+00:00,4919.26834396,4932.57826837,0.01858314,1
baseline,2025-01-06T16:00:00+00:00,4919.26834396,5111.77469354,0.0,1
baseline,2025-01-06T20:00:00+00:00,4919.26834396,5091.10487159,0.00404357,1
baseline,2025-01-07T00:00:00+00:00,4919.26834396,5116.4887545,0.0,1
baseline,2025-01-07T04:00:00+00:00,4919.26834396,5084.24805565,0.00630133,1
baseline,2025-01-07T08:00:00+00:00,5084.25426654,5084.25426654,0.00630012,0
baseline,2025-01-07T12:00:00+00:00,5084.25426654,5084.25426654,0.00630012,0
baseline,2025-01-07T16:00:00+00:00,4957.14791062,4957.14791062,0.03114262,0
baseline,2025-01-07T20:00:00+00:00,4957.14791062,4957.14791062,0.03114262,0
baseline,2025-01-08T00:00:00+00:00,4957.14791062,4957.14791062,0.03114262,0
baseline,2025-01-08T04:00:00+00:00,4957.14791062,4957.14791062,0.03114262,0
baseline,2025-01-08T08:00:00+00:00,4957.14791062,4957.14791062,0.03114262,0
baseline,2025-01-08T12:00:00+00:00,4957.14791062,4957.14791062,0.03114262,0
baseline,2025-01-08T16:00:00+00:00,4957.14791062,4957.14791062,0.03114262,0
baseline,2025-01-08T20:00:00+00:00,4833.21921574,4833.21921574,0.05536405,0
