phase,timestamp,balance,equity,drawdown_pct,open_positions
baseline,2025-01-01T00:00:00+00:00,5000.0,5000.0,0.0,0
baseline,2025-01-01T04:00:00+00:00,5000.0,5000.0,0.0,0
baseline,2025-01-01T08:00:00+00:00,5000.0,5013.92575445,0.0,1
baseline,2025-01-01T12:00:00+00:00,5000.0,5036.36739224,0.0,1
baseline,2025-01-01T16:00:00+00:00,5000.0,4944.04514336,0.01833112,1
baseline,2025-01-01T20:00:00+00:00,5000.0,4925.18521336,0.02207587,1
baseline,2025-01-02T00:00:00+00:00,5000.0,4928.09535092,0.02149804,1
baseline,2025-01-02T04:00:00+00:00,5000.0,4889.0043684,0.02925978,1
baseline,2025-01-02T08:00:00+00:00,4889.0043684,4889.0043684,0.02925978,0
baseline,2025-01-02T12:00:00+00:00,4889.0043684,4889.0043684,0.02925978,0
baseline,2025-01-02T16:00:00+00:00,4889.0043684,4889.0043684,0.02925978,0
baseline,2025-01-02T20:00:00+00:00,4889.0043684,4889.0043684,0.02925978,0
baseline,2025-01-03T00:00:00+00:00,4889.0043684,4889.0043684,0.02925978,0
baseline,2025-01-03T04:00:00+00:00,4889.0043684,4889.0043684,0.02925978,0
baseline,2025-01-03T08:00:00+00:00,4889.0043684,4889.0043684,0.02925978,0
baseline,2025-01-03T12:00:00+00:00,4889.0043684,4889.0043684,0.02925978,0
baseline,2025-01-03T16:00:00+00:00,4889.0043684,4889.0043684,0.02925978,0
baseline,2025-01-03T20:00:00+00:00,4889.0043684,4889.0043684,0.02925978,0
baseline,2025-01-04T00:00:00+00:00,4889.0043684,4886.87656448,0.02968227,1
baseline,2025-01-04T04:00:00+00:00,4889.0043684,4886.89625159,0.02967836,1
baseline,2025-01-04T08:00:00+00:00,4889.0043684,4887.40066722,0.02957821,1
baseline,2025-01-04T12:00:00+00:00,4889.0043684,4885.20635281,0.0300139,1
baseline,2025-01-04T16:00:00+00:00,4889.0043684,4884.09855392,0.03023386,1
baseline,2025-01-04T20:00:00+00:00,4889.0043684,4886.74141515,0.02970911,1
baseline,2025-01-05T00:00:00+00:00,4886.74194723,4886.74194723,0.029709,0
baseline,2025-01-05T04:00:00+00:00,4886.74194723,4886.74194723,0.029709,0
baseline,2025-01-05T08:00:00+00:00,4886.74194723,4886.74194723,0.029709,0
baseline,2025-01-05T12:00:00+00:00,4886.74194723,4886.74194723,0.029709,0
baseline,2025-01-05T16:00:00+00:00,4886.74194723,4886.74194723,0.029709,0
baseline,2025-01-05T20:00:00+00:00,4886.74194723,4886.74194723,0.029709,0
baseline,2025-01-06T00:00:00+00:00,4886.74194723,4886.74194723,0.029709,0
baseline,2025-01-06T04:00:00+00:00,4886.74194723,4886.74194723,0.029709,0
baseline,2025-01-06T08:00:00+00:00,4886.74194723,4910.49574323,0.02499255,1
baseline,2025-01-06T12:00:00+00:00,4886.74194723,4905.25263262,0.0260336,1
baseline,2025-01-06T16:00:00+00:00,4886.74194723,5154.46882251,0.0,1
baseline,2025-01-06T20:00:00+00:00,4886.74194723,5125.72241048,0.00557699,1
baseline,2025-01-07T00:00:00+00:00,4886.74194723,5161.02487021,0.0,1
baseline,2025-01-07T04:00:00+00:00,4886.74194723,5116.1863411,0.00868791,1
baseline,2025-01-07T08:00:00+00:00,5116.19497885,5116.19497885,0.00868624,0
baseline,2025-01-07T12:00:00+00:00,5116.19497885,5116.19497885,0.00868624,0
baseline,2025-01-07T16:00:00+00:00,4937.12814712,4937.12814712,0.04338222,0
baseline,2025-01-07T20:00:00+00:00,4937.12814712,4937.12814712,0.04338222,0
baseline,2025-01-08T00:00:00+00:00,4937.12814712,4937.12814712,0.04338222,0
baseline,2025-01-08T04:00:00+00:00,4937.12814712,4937.12814712,0.04338222,0
baseline,2025-01-08T08:00:00+00:00,4937.12814712,4937.12814712,0.04338222,0
baseline,2025-01-08T12:00:00+00:00,4937.12814712,4937.12814712,0.04338222,0
baseline,2025-01-08T16:00:00+00:00,4937.12814712,4937.12814712,0.04338222,0
baseline,2025-01-08T20:00:00+00:00,4764.32866438,4764.32866438,0.07686384,0
