phase,timestamp,balance,equity,drawdown_pct,open_positions
baseline,2025-01-01T00:00:00+00:00,5000.0,5000.0,0.0,0
baseline,2025-01-01T04:00:00+00:00,5000.0,5000.0,0.0,0
baseline,2025-01-01T08:00:00+00:00,5000.0,5013.92575445,0.0,1
baseline,2025-01-01T12:00:00+00:00,5000.0,5036.36739224,0.0,1
baseline,2025-01-01T16:00:00+00:00,5000.0,4944.04514336,0.01833112,1
baseline,2025-01-01T20:00:00+00:00,5000.0,4925.18521336,0.02207587,1
baseline,2025-01-02T00:00:00+00:00,5000.0,4928.09535092,0.02149804,1
baseline,2025-01-02T04:00:00+00:00,5000.0,4889.0043684,0.02925978,1
baseline,2025-01-02T08:00:00+00:00,4889.0043684,4889.0043684,0.02925978,0
baseline,2025-01-02T12:00:00+00:00,4889.0043684,4889.0043684,0.02925978,0
baseline,2025-01-02T16:00:00+00:00,4889.0043684,4889.0043684,0.02925978,0
baseline,2025-01-02T20:00:00+00:00,4889.0043684,4889.0043684,0.02925978,0
baseline,2025-01-03T00:00:00+00:00,4889.0043684,4889.0043684,0.02925978,0
baseline,2025-01-03T04:00:00+00:00,4889.0043684,4889.0043684,0.02925978,0
baseline,2025-01-03T08:00:00+00:00,4889.0043684,4889.0043684,0.02925978,0
baseline,2025-01-03T12:00:00+00:00,4889.0043684,4889.0043684,0.02925978,0
baseline,2025-01-03T16:00:00+00:00,4889.0043684,4889.0043684,0.02925978,0
baseline,2025-01-03T20:00:00+00:00,4889.0043684,4889.0043684,0.02925978,0
baseline,2025-01-04T00:00:00+00:00,4889.0043684,4887.26343574,0.02960546,1
baseline,2025-01-04T04:00:00+00:00,4889.0043684,4887.2795434,0.02960226,1
baseline,2025-01-04T08:00:00+00:00,4889.0043684,4887.69224761,0.02952031,1
baseline,2025-01-04T12:00:00+00:00,4889.0043684,4885.8968972,0.02987679,1
baseline,2025-01-04T16:00:00+00:00,4889.0043684,4884.99051516,0.03005676,1
baseline,2025-01-04T20:00:00+00:00,4889.0043684,4887.15285887,0.02962741,1
baseline,2025-01-05T00:00:00+00:00,4887.15329422,4887.15329422,0.02962733,0
baseline,2025-01-05T04:00:00+00:00,4887.15329422,4887.15329422,0.02962733,0
baseline,2025-01-05T08:00:00+00:00,4887.15329422,4887.15329422,0.02962733,0
baseline,2025-01-05T12:00:00+00:00,4887.15329422,4887.15329422,0.02962733,0
baseline,2025-01-05T16:00:00+00:00,4887.15329422,4887.15329422,0.02962733,0
baseline,2025-01-05T20:00:00+00:00,4887.15329422,4887.15329422,0.02962733,0
baseline,2025-01-06T00:00:00+00:00,4887.15329422,4887.15329422,0.02962733,0
baseline,2025-01-06T04:00:00+00:00,4887.15329422,4887.15329422,0.02962733,0
baseline,2025-01-06T08:00:00+00:00,4887.15329422,4910.90908947,0.02491047,1
baseline,2025-01-06T12:00:00+00:00,4887.15329422,4905.66553757,0.02595161,1
baseline,2025-01-06T16:00:00+00:00,4887.15329422,5154.90270286,0.0,1
baseline,2025-01-06T20:00:00+00:00,4887.15329422,5126.15387137,0.00557699,1
baseline,2025-01-07T00:00:00+00:00,4887.15329422,5161.45930235,0.0,1
baseline,2025-01-07T04:00:00+00:00,4887.15329422,5116.61699939,0.00868791,1
baseline,2025-01-07T08:00:00+00:00,5116.62563786,5116.62563786,0.00868624,0
baseline,2025-01-07T12:00:00+00:00,5116.62563786,5116.62563786,0.00868624,0
baseline,2025-01-07T16:00:00+00:00,4937.54374856,4937.54374856,0.04338222,0
baseline,2025-01-07T20:00:00+00:00,4937.54374856,4937.54374856,0.04338222,0
baseline,2025-01-08T00:00:00+00:00,4937.54374856,4937.54374856,0.04338222,0
baseline,2025-01-08T04:00:00+00:00,4937.54374856,4937.54374856,0.04338222,0
baseline,2025-01-08T08:00:00+00:00,4937.54374856,4937.54374856,0.04338222,0
baseline,2025-01-08T12:00:00+00:00,4937.54374856,4937.54374856,0.04338222,0
baseline,2025-01-08T16:00:00+00:00,4937.54374856,4937.54374856,0.04338222,0
baseline,2025-01-08T20:00:00+00:00,4764.72971925,4764.72971925,0.07686384,0
