phase,trade_id,action,entry_time,exit_time,entry_price,exit_price,size,stop_loss,take_profit,pnl,pnl_pct,net_pnl,net_pnl_pct,exit_reason,conviction,regime,reasoning
baseline,BT-202501010400-0,SHORT,2025-01-01T04:00:00+00:00,2025-01-02T04:00:00+00:00,93810.0,95000.0,0.09327364,95686.2,89119.5,-110.9956316,-0.01268521,-126.84555017,-0.02536911,MAX_DURATION,94,BEAR_TREND,"BEAR_TREND: state_conf=0.79, trend_strength=1.00, adx=17.1, hurst=1.00"
baseline,BT-202501032000-1,LONG,2025-01-03T20:00:00+00:00,2025-01-04T20:00:00+00:00,98545.6,98120.4,0.00435342,96574.688,103472.88,-1.85107418,-0.00431475,-2.62162728,-0.00052433,MAX_DURATION,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=27.3, hurst=1.00"
baseline,BT-202501060400-2,LONG,2025-01-06T04:00:00+00:00,2025-01-07T04:00:00+00:00,99005.0,101661.4,0.08638471,97024.9,103955.25,229.47234364,0.02683097,213.87133164,0.04277427,MAX_DURATION,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=30.6, hurst=1.00"
baseline,BT-202501071200-3,LONG,2025-01-07T12:00:00+00:00,2025-01-07T15:00:00+00:00,100787.0,98771.26,0.08884176,98771.26,105826.35,-179.0818893,-0.02,-195.03812146,-0.03900762,STOP_LOSS,95,BULL_TREND,"BULL_TREND: state_conf=0.87, trend_strength=1.00, adx=38.1, hurst=1.00"
baseline,BT-202501081600-4,LONG,2025-01-08T16:00:00+00:00,2025-01-08T17:15:00+00:00,95449.9,93540.902,0.09052604,93540.902,100222.395,-172.81402931,-0.02,-188.21179388,-0.03764236,STOP_LOSS,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=33.1, hurst=1.00"
baseline,BT-202501090000-5,LONG,2025-01-09T00:00:00+00:00,2025-01-09T08:00:00+00:00,95014.0,93113.72,0.0877584,93113.72,99764.7,-166.76553235,-0.02,-181.62437464,-0.03632487,STOP_LOSS,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=35.2, hurst=1.00"
baseline,BT-202501091200-6,LONG,2025-01-09T12:00:00+00:00,2025-01-09T20:00:00+00:00,93414.3,91546.014,0.0861371,91546.014,98085.015,-160.92873801,-0.02,-175.26752075,-0.0350535,STOP_LOSS,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=38.0, hurst=1.00"
baseline,BT-202501130000-7,SHORT,2025-01-13T00:00:00+00:00,2025-01-13T14:30:00+00:00,94499.9,89774.905,0.08216741,96389.898,89774.905,388.24060141,0.05,374.61343395,0.07492269,TAKE_PROFIT,95,BEAR_TREND,"BEAR_TREND: state_conf=0.99, trend_strength=1.00, adx=24.1, hurst=1.00"
baseline,BT-202501131600-8,LONG,2025-01-13T16:00:00+00:00,2025-01-14T09:30:00+00:00,92093.7,96698.385,0.09169176,90251.826,96698.385,422.2116719,0.05,406.63214564,0.08132643,TAKE_PROFIT,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=23.5, hurst=1.00"
baseline,BT-202501151600-9,LONG,2025-01-15T16:00:00+00:00,2025-01-16T16:00:00+00:00,98943.3,99258.2,0.09281178,96964.434,103890.465,29.22642952,0.00318263,12.67054475,0.00253411,MAX_DURATION,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=17.7, hurst=1.00"
