phase,trade_id,action,entry_time,exit_time,entry_price,exit_price,size,stop_loss,take_profit,pnl,pnl_pct,net_pnl,net_pnl_pct,exit_reason,conviction,regime,reasoning
baseline,BT-202501010400-0,SHORT,2025-01-01T04:00:00+00:00,2025-01-02T04:00:00+00:00,93810.0,95000.0,0.06662403,95686.2,89119.5,-79.2825957,-0.01268521,-90.60396635,-0.01812079,MAX_DURATION,94,BEAR_TREND,"BEAR_TREND: state_conf=0.79, trend_strength=1.00, adx=17.1, hurst=1.00"
baseline,BT-202501032000-1,LONG,2025-01-03T20:00:00+00:00,2025-01-04T20:00:00+00:00,98545.6,98120.4,0.00340795,96574.688,103472.88,-1.44906034,-0.00431475,-2.05226574,-0.00041045,MAX_DURATION,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=27.3, hurst=1.00"
baseline,BT-202501060400-2,LONG,2025-01-06T04:00:00+00:00,2025-01-07T04:00:00+00:00,99005.0,101661.4,0.06210884,97024.9,103955.25,164.98592258,0.02683097,153.76911398,0.03075382,MAX_DURATION,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=30.6, hurst=1.00"
baseline,BT-202501071200-3,LONG,2025-01-07T12:00:00+00:00,2025-01-07T15:00:00+00:00,100787.0,98771.26,0.06305692,98771.26,105826.35,-127.10635592,-0.02,-138.43155765,-0.02768631,STOP_LOSS,95,BULL_TREND,"BULL_TREND: state_conf=0.87, trend_strength=1.00, adx=38.1, hurst=1.00"
baseline,BT-202501081600-4,LONG,2025-01-08T16:00:00+00:00,2025-01-08T17:15:00+00:00,95449.9,93540.902,0.06491819,93540.902,100222.395,-123.92869487,-0.02,-134.97076637,-0.02699415,STOP_LOSS,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=33.1, hurst=1.00"
baseline,BT-202501090000-5,LONG,2025-01-09T00:00:00+00:00,2025-01-09T08:00:00+00:00,95014.0,93113.72,0.06358562,93113.72,99764.7,-120.83048197,-0.02,-131.59650208,-0.0263193,STOP_LOSS,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=35.2, hurst=1.00"
baseline,BT-202501091200-6,LONG,2025-01-09T12:00:00+00:00,2025-01-09T20:00:00+00:00,93414.3,91546.014,0.06305765,91546.014,98085.015,-117.80972469,-0.02,-128.30659472,-0.02566132,STOP_LOSS,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=38.0, hurst=1.00"
baseline,BT-202501100000-7,LONG,2025-01-10T00:00:00+00:00,2025-01-11T00:00:00+00:00,92506.0,94675.6,0.06208488,90655.88,97131.3,134.69935565,0.02345361,124.24035013,0.02484807,MAX_DURATION,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=39.5, hurst=1.00"
baseline,BT-202501110400-8,LONG,2025-01-11T04:00:00+00:00,2025-01-12T04:00:00+00:00,94168.3,94586.0,0.06277694,92284.934,98876.715,26.22192784,0.00443568,15.55745745,0.00311149,MAX_DURATION,92,BULL_TREND,"BULL_TREND: state_conf=0.56, trend_strength=1.00, adx=32.3, hurst=1.00"
baseline,BT-202501120800-9,SHORT,2025-01-12T08:00:00+00:00,2025-01-13T08:00:00+00:00,94291.2,93557.9,0.06304274,96177.024,89576.64,46.22924124,0.00777697,35.57098071,0.0071142,MAX_DURATION,95,BEAR_TREND,"BEAR_TREND: state_conf=1.00, trend_strength=1.00, adx=27.5, hurst=1.00"
