1767225600000000,87626.01000000,88250.07000000,87626.01000000,87776.19000000,0.16708000,1767239999999999,14687.94806510,49,0.09541000,8390.59030680,0
1767240000000000,87752.55000000,87752.55000000,87467.19000000,87533.47000000,0.00629000,1767254399999999,550.83679870,22,0.00469000,410.76701930,0
1767254400000000,87593.59000000,87902.29000000,87593.59000000,87893.09000000,0.08599000,1767268799999999,7548.03530080,21,0.03361000,2950.49502220,0
1767268800000000,87948.35000000,87982.58000000,87769.32000000,87982.58000000,0.07733000,1767283199999999,6795.40720600,41,0.04029000,3540.95372650,0
1767283200000000,87930.74000000,88409.41000000,87925.48000000,88302.88000000,0.08218000,1767297599999999,7238.37919890,24,0.01680000,1480.36569580,0
1767297600000000,88256.83000000,88739.43000000,88170.60000000,88739.43000000,0.14957000,1767311999999999,13218.31255780,58,0.04324000,3819.26024740,0
1767312000000000,88744.02000000,89017.32000000,88355.82000000,88867.66000000,0.00939000,1767326399999999,832.87139560,17,0.00813000,720.78996880,0
1767326400000000,88797.60000000,88972.58000000,88356.75000000,88695.39000000,0.19332000,1767340799999999,17110.69337110,34,0.00949000,842.56991070,0
1767340800000000,88952.89000000,89842.99000000,88920.06000000,89488.38000000,0.10035000,1767355199999999,8959.55388790,105,0.06094000,5438.57639690,0
1767355200000000,89396.13000000,90000.00000000,88562.46000000,89382.47000000,1.20306000,1767369599999999,107863.18265460,401,0.95796000,86018.68234040,0
1767369600000000,89387.84000000,90896.42000000,89193.35000000,89882.43000000,2.47486000,1767383999999999,222639.14857540,798,2.07394000,186530.29824570,0
1767384000000000,89870.26000000,90291.03000000,89616.04000000,89932.07000000,0.10177000,1767398399999999,9156.27903880,79,0.07941000,7146.28920910,0
1767398400000000,90018.56000000,90359.47000000,90018.56000000,90240.27000000,0.11202000,1767412799999999,10104.79339380,59,0.10605000,9565.81928170,0
1767412800000000,90401.05000000,90421.04000000,89382.47000000,89595.30000000,0.01977000,1767427199999999,1781.47261290,22,0.01733000,1562.72129110,0
