phase,trade_id,action,entry_time,exit_time,entry_price,exit_price,size,stop_loss,take_profit,pnl,pnl_pct,net_pnl,net_pnl_pct,exit_reason,conviction,regime,reasoning
baseline,BT-202501010400-0,SHORT,2025-01-01T04:00:00+00:00,2025-01-02T04:00:00+00:00,93810.0,95000.0,0.05329922,95686.2,90057.6,-63.4260718,-0.01268521,-72.48316764,-0.01449663,MAX_DURATION,94,BEAR_TREND,"BEAR_TREND: state_conf=0.79, trend_strength=1.00, adx=17.1, hurst=1.00"
baseline,BT-202501032000-1,LONG,2025-01-03T20:00:00+00:00,2025-01-04T20:00:00+00:00,98545.6,98120.4,0.04608677,96574.688,102487.424,-19.5960946,-0.00431475,-27.75342916,-0.00555069,MAX_DURATION,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=27.3, hurst=1.00"
baseline,BT-202501060400-2,LONG,2025-01-06T04:00:00+00:00,2025-01-07T04:00:00+00:00,99005.0,101661.4,0.04966393,97024.9,102965.2,131.92726365,0.02683097,122.9579962,0.0245916,MAX_DURATION,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=30.6, hurst=1.00"
baseline,BT-202501071200-3,LONG,2025-01-07T12:00:00+00:00,2025-01-07T15:00:00+00:00,100787.0,98771.26,0.0500948,98771.26,104818.48,-100.97809215,-0.02,-109.97526036,-0.02199505,STOP_LOSS,95,BULL_TREND,"BULL_TREND: state_conf=0.87, trend_strength=1.00, adx=38.1, hurst=1.00"
baseline,BT-202501081600-4,LONG,2025-01-08T16:00:00+00:00,2025-01-08T17:15:00+00:00,95449.9,93540.902,0.05183795,93540.902,99267.896,-98.95854287,-0.02,-107.77576884,-0.02155515,STOP_LOSS,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=33.1, hurst=1.00"
baseline,BT-202501090000-5,LONG,2025-01-09T00:00:00+00:00,2025-01-09T08:00:00+00:00,95014.0,93113.72,0.05103425,93113.72,98814.56,-96.97936459,-0.02,-105.62024537,-0.02112405,STOP_LOSS,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=35.2, hurst=1.00"
training,BT-202501012000-0,SHORT,2025-01-01T20:00:00+00:00,2025-01-02T08:00:00+00:00,94612.1,95815.4,0.01321184,96504.342,90827.616,-15.89780707,-0.01271825,-18.16211815,-0.00363242,MAX_DURATION,95,BEAR_TREND,"BEAR_TREND: state_conf=0.95, trend_strength=1.00, adx=15.2, hurst=1.00"
training,BT-202501021200-1,SHORT,2025-01-02T12:00:00+00:00,2025-01-03T00:00:00+00:00,96715.4,96967.6,0.01288342,98649.708,92846.784,-3.24919852,-0.00260765,-5.49496867,-0.00109899,MAX_DURATION,90,BEAR_TREND,"BEAR_TREND: state_conf=0.53, trend_strength=1.00, adx=17.7, hurst=1.00"
training,BT-202501030400-2,SHORT,2025-01-03T04:00:00+00:00,2025-01-03T16:00:00+00:00,97019.1,97479.6,0.01283472,98959.482,93138.336,-5.91038856,-0.00474649,-8.15709246,-0.00163142,MAX_DURATION,95,BEAR_TREND,"BEAR_TREND: state_conf=0.99, trend_strength=1.00, adx=23.6, hurst=1.00"
training,BT-202501040000-3,SHORT,2025-01-04T00:00:00+00:00,2025-01-04T12:00:00+00:00,98145.7,97831.8,0.01267234,100108.614,94219.872,3.97784753,0.00319831,1.74270416,0.00034854,MAX_DURATION,94,BEAR_TREND,"BEAR_TREND: state_conf=0.68, trend_strength=1.00, adx=28.9, hurst=1.00"
training,BT-202501041600-4,SHORT,2025-01-04T16:00:00+00:00,2025-01-05T04:00:00+00:00,97623.5,98160.0,0.01275031,99575.97,93718.56,-6.84054132,-0.0054956,-9.08721297,-0.00181744,MAX_DURATION,95,BEAR_TREND,"BEAR_TREND: state_conf=1.00, trend_strength=1.00, adx=31.3, hurst=1.00"
training,BT-202501050800-5,SHORT,2025-01-05T08:00:00+00:00,2025-01-05T20:00:00+00:00,98225.3,98050.0,0.01265478,100189.806,94296.288,2.21838293,0.00178467,-0.01705529,-3.41e-06,MAX_DURATION,95,BEAR_TREND,"BEAR_TREND: state_conf=1.00, trend_strength=1.00, adx=33.6, hurst=1.00"
training,BT-202501060000-6,SHORT,2025-01-06T00:00:00+00:00,2025-01-06T12:00:00+00:00,98340.2,99219.2,0.01264564,100307.004,94406.592,-11.11551756,-0.00893836,-13.36395833,-0.00267279,MAX_DURATION,95,BEAR_TREND,"BEAR_TREND: state_conf=0.97, trend_strength=1.00, adx=30.6, hurst=1.00"
training,BT-202501141600-7,LONG,2025-01-14T16:00:00+00:00,2025-01-15T04:00:00+00:00,96416.8,97288.8,0.01286908,94488.464,100273.472,11.22183776,0.00904407,8.97830843,0.00179566,MAX_DURATION,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=20.3, hurst=1.00"
training,BT-202501230800-8,SHORT,2025-01-23T08:00:00+00:00,2025-01-23T14:30:00+00:00,102668.3,104721.666,0.01211281,104721.666,98561.568,-24.87203222,-0.02,-27.13290492,-0.00542658,STOP_LOSS,95,BEAR_TREND,"BEAR_TREND: state_conf=1.00, trend_strength=1.00, adx=15.2, hurst=1.00"
training,BT-202501232000-9,LONG,2025-01-23T20:00:00+00:00,2025-01-24T08:00:00+00:00,103713.7,104999.9,0.01193076,101639.426,107862.248,15.34534351,0.01240145,13.1042459,0.00262085,MAX_DURATION,95,BULL_TREND,"BULL_TREND: state_conf=0.95, trend_strength=1.00, adx=14.5, hurst=1.00"
training,BT-202501300400-10,LONG,2025-01-30T04:00:00+00:00,2025-01-30T16:00:00+00:00,105155.6,105519.4,0.01180365,103052.488,109361.824,4.29416787,0.00345964,2.05610816,0.00041122,MAX_DURATION,89,BULL_TREND,"BULL_TREND: state_conf=0.50, trend_strength=1.00, adx=10.7, hurst=1.00"
training,BT-202502021200-11,SHORT,2025-02-02T12:00:00+00:00,2025-02-03T00:00:00+00:00,98811.5,97664.5,0.01257235,100787.73,94859.04,14.42048545,0.01160796,12.1973398,0.00243947,MAX_DURATION,95,BEAR_TREND,"BEAR_TREND: state_conf=1.00, trend_strength=1.00, adx=18.3, hurst=1.00"
training,BT-202502030800-12,SHORT,2025-02-03T08:00:00+00:00,2025-02-03T15:15:00+00:00,95271.1,97176.522,0.0130774,97176.522,91460.256,-24.91796566,-0.02,-27.18301373,-0.0054366,STOP_LOSS,95,BEAR_TREND,"BEAR_TREND: state_conf=1.00, trend_strength=1.00, adx=31.7, hurst=1.00"
training,BT-202502050800-13,SHORT,2025-02-05T08:00:00+00:00,2025-02-05T20:00:00+00:00,97814.9,97327.2,0.01267362,99771.198,93902.304,6.18092447,0.00498595,3.95508457,0.00079102,MAX_DURATION,95,BEAR_TREND,"BEAR_TREND: state_conf=1.00, trend_strength=1.00, adx=25.7, hurst=1.00"
training,BT-202502060000-14,SHORT,2025-02-06T00:00:00+00:00,2025-02-06T09:00:00+00:00,96553.2,98484.264,0.01285523,98484.264,92691.072,-24.82427186,-0.02,-27.08080314,-0.00541616,STOP_LOSS,95,BEAR_TREND,"BEAR_TREND: state_conf=1.00, trend_strength=1.00, adx=25.4, hurst=1.00"
training,BT-202502061200-15,SHORT,2025-02-06T12:00:00+00:00,2025-02-07T00:00:00+00:00,98826.3,96515.0,0.01249675,100802.826,94873.248,28.88373828,0.0233875,26.6867258,0.00533735,MAX_DURATION,95,BEAR_TREND,"BEAR_TREND: state_conf=0.98, trend_strength=1.00, adx=23.9, hurst=1.00"
training,BT-202503061600-16,SHORT,2025-03-06T16:00:00+00:00,2025-03-07T00:15:00+00:00,90777.9,87146.784,0.01368426,92593.458,87146.784,49.68913543,0.04,47.4978545,0.00949957,TAKE_PROFIT,95,BEAR_TREND,"BEAR_TREND: state_conf=1.00, trend_strength=1.00, adx=17.9, hurst=1.00"
training,BT-202503070800-17,SHORT,2025-03-07T08:00:00+00:00,2025-03-07T13:30:00+00:00,88308.8,90074.976,0.01420754,90074.976,84776.448,-25.09301617,-0.02,-27.37397636,-0.0054748,STOP_LOSS,95,BEAR_TREND,"BEAR_TREND: state_conf=1.00, trend_strength=1.00, adx=16.2, hurst=1.00"
training,BT-202503071600-18,SHORT,2025-03-07T16:00:00+00:00,2025-03-08T04:00:00+00:00,88425.0,85880.0,0.01411793,90193.5,84888.0,35.93013185,0.02878145,33.71539583,0.00674308,MAX_DURATION,95,BEAR_TREND,"BEAR_TREND: state_conf=1.00, trend_strength=1.00, adx=14.8, hurst=1.00"
training,BT-202503080800-19,SHORT,2025-03-08T08:00:00+00:00,2025-03-08T20:00:00+00:00,86159.2,86190.5,0.01459345,87882.384,82712.832,-0.45677499,-0.00036328,-2.72043413,-0.00054409,MAX_DURATION,95,BEAR_TREND,"BEAR_TREND: state_conf=1.00, trend_strength=1.00, adx=15.0, hurst=1.00"
