phase,trade_id,action,entry_time,exit_time,entry_price,exit_price,size,stop_loss,take_profit,pnl,pnl_pct,net_pnl,net_pnl_pct,exit_reason,conviction,regime,reasoning
baseline,BT-202501010400-0,SHORT,2025-01-01T04:00:00+00:00,2025-01-02T04:00:00+00:00,93810.0,95000.0,0.05329922,95686.2,89119.5,-63.4260718,-0.01268521,-72.48316764,-0.01449663,MAX_DURATION,94,BEAR_TREND,"BEAR_TREND: state_conf=0.79, trend_strength=1.00, adx=17.1, hurst=1.00"
baseline,BT-202501060400-1,LONG,2025-01-06T04:00:00+00:00,2025-01-07T04:00:00+00:00,99005.0,101661.4,0.04986186,97024.9,103955.25,132.4530449,0.02683097,123.44803145,0.02468961,MAX_DURATION,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=30.6, hurst=1.00"
baseline,BT-202501071200-2,LONG,2025-01-07T12:00:00+00:00,2025-01-07T15:00:00+00:00,100787.0,98771.26,0.05029445,98771.26,105826.35,-101.38053464,-0.02,-110.41356056,-0.02208271,STOP_LOSS,95,BULL_TREND,"BULL_TREND: state_conf=0.87, trend_strength=1.00, adx=38.1, hurst=1.00"
baseline,BT-202501081600-3,LONG,2025-01-08T16:00:00+00:00,2025-01-08T17:15:00+00:00,95449.9,93540.902,0.05204454,93540.902,100222.395,-99.35292277,-0.02,-108.20528806,-0.02164106,STOP_LOSS,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=33.1, hurst=1.00"
baseline,BT-202501090000-4,LONG,2025-01-09T00:00:00+00:00,2025-01-09T08:00:00+00:00,95014.0,93113.72,0.05123764,93113.72,99764.7,-97.36586254,-0.02,-106.04118036,-0.02120824,STOP_LOSS,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=35.2, hurst=1.00"
baseline,BT-202501091200-5,LONG,2025-01-09T12:00:00+00:00,2025-01-09T20:00:00+00:00,93414.3,91546.014,0.05107278,91546.014,98085.015,-95.41855986,-0.02,-103.92037262,-0.02078407,STOP_LOSS,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=38.0, hurst=1.00"
baseline,BT-202501100000-6,LONG,2025-01-10T00:00:00+00:00,2025-01-11T00:00:00+00:00,92506.0,94675.6,0.05054277,90655.88,97131.3,109.65759379,0.02345361,101.14300682,0.0202286,MAX_DURATION,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=39.5, hurst=1.00"
baseline,BT-202501110400-7,LONG,2025-01-11T04:00:00+00:00,2025-01-12T04:00:00+00:00,94168.3,94586.0,0.05081505,92284.934,98876.715,21.22544638,0.00443568,12.59304736,0.00251861,MAX_DURATION,92,BULL_TREND,"BULL_TREND: state_conf=0.56, trend_strength=1.00, adx=32.3, hurst=1.00"
baseline,BT-202501120800-8,SHORT,2025-01-12T08:00:00+00:00,2025-01-13T08:00:00+00:00,94291.2,93557.9,0.05097392,96177.024,89576.64,37.37917554,0.00777697,28.76131852,0.00575226,MAX_DURATION,95,BEAR_TREND,"BEAR_TREND: state_conf=1.00, trend_strength=1.00, adx=27.5, hurst=1.00"
baseline,BT-202501131600-9,LONG,2025-01-13T16:00:00+00:00,2025-01-14T09:30:00+00:00,92093.7,96698.385,0.05259612,90251.826,96698.385,242.18856482,0.05,233.25185522,0.04665037,TAKE_PROFIT,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=23.5, hurst=1.00"
baseline,BT-202501151600-10,LONG,2025-01-15T16:00:00+00:00,2025-01-16T16:00:00+00:00,98943.3,99258.2,0.05140277,96964.434,103890.465,16.18673227,0.00318263,7.01744,0.00140349,MAX_DURATION,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=17.7, hurst=1.00"
baseline,BT-202501162000-11,LONG,2025-01-16T20:00:00+00:00,2025-01-17T19:15:00+00:00,100382.0,105401.1,0.05082731,98374.36,105401.1,255.10735162,0.05,245.69394137,0.04913879,TAKE_PROFIT,95,BULL_TREND,"BULL_TREND: state_conf=0.97, trend_strength=1.00, adx=20.2, hurst=1.00"
baseline,BT-202501180000-12,LONG,2025-01-18T00:00:00+00:00,2025-01-19T00:00:00+00:00,104042.6,104524.3,0.05149097,101961.748,109244.73,24.80320025,0.00462983,15.13782442,0.00302756,MAX_DURATION,95,BULL_TREND,"BULL_TREND: state_conf=0.99, trend_strength=1.00, adx=27.7, hurst=1.00"
baseline,BT-202501191200-13,LONG,2025-01-19T12:00:00+00:00,2025-01-19T22:45:00+00:00,104353.8,102266.724,0.0515751,102266.724,109571.49,-107.64115341,-0.02,-117.2320017,-0.0234464,STOP_LOSS,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=31.7, hurst=1.00"
baseline,BT-202501250400-14,SHORT,2025-01-25T04:00:00+00:00,2025-01-26T04:00:00+00:00,105153.9,105036.6,0.05015901,107256.978,99896.205,5.88365187,0.00111551,-3.6049996,-0.000721,MAX_DURATION,95,BEAR_TREND,"BEAR_TREND: state_conf=0.95, trend_strength=1.00, adx=12.3, hurst=1.00"
baseline,BT-202501260800-15,SHORT,2025-01-26T08:00:00+00:00,2025-01-27T05:45:00+00:00,104963.7,99715.515,0.04169106,107062.974,99715.515,218.80239573,0.05,211.1224754,0.0422245,TAKE_PROFIT,95,BEAR_TREND,"BEAR_TREND: state_conf=1.00, trend_strength=1.00, adx=11.0, hurst=1.00"
baseline,BT-202501271600-16,LONG,2025-01-27T16:00:00+00:00,2025-01-27T17:15:00+00:00,101070.8,99049.384,0.05440842,99049.384,106124.34,-109.98205072,-0.02,-119.78147344,-0.02395629,STOP_LOSS,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=17.6, hurst=1.00"
baseline,BT-202501272000-17,LONG,2025-01-27T20:00:00+00:00,2025-01-28T20:00:00+00:00,99660.3,102368.7,0.05407489,97667.094,104643.315,146.45643208,0.02717632,136.62423501,0.02732485,MAX_DURATION,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=17.7, hurst=1.00"
baseline,BT-202501292000-18,LONG,2025-01-29T20:00:00+00:00,2025-01-30T20:00:00+00:00,103550.6,105659.9,0.0534577,101479.588,108728.13,112.75832661,0.02036975,102.69282823,0.02053857,MAX_DURATION,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=11.0, hurst=1.00"
baseline,BT-202502051600-19,LONG,2025-02-05T16:00:00+00:00,2025-02-06T16:00:00+00:00,98063.3,97285.7,0.03131938,96102.034,102966.465,-24.35394989,-0.00792957,-29.86034337,-0.00597207,MAX_DURATION,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=25.2, hurst=1.00"
baseline,BT-202502070000-20,SHORT,2025-02-07T00:00:00+00:00,2025-02-07T13:30:00+00:00,96515.0,98445.3,0.05827054,98445.3,91689.25,-112.47962336,-0.02,-122.70404362,-0.02454081,STOP_LOSS,95,BEAR_TREND,"BEAR_TREND: state_conf=0.95, trend_strength=1.00, adx=23.9, hurst=1.00"
baseline,BT-202502072000-21,SHORT,2025-02-07T20:00:00+00:00,2025-02-08T20:00:00+00:00,96840.0,96550.0,0.05691348,98776.8,91998.0,16.5049092,0.00299463,6.59906439,0.00131981,MAX_DURATION,94,BEAR_TREND,"BEAR_TREND: state_conf=0.77, trend_strength=1.00, adx=20.2, hurst=1.00"
baseline,BT-202502090000-22,SHORT,2025-02-09T00:00:00+00:00,2025-02-10T00:00:00+00:00,96412.0,96423.6,0.05733732,98340.24,91591.4,-0.66511291,-0.00012032,-10.6161219,-0.00212322,MAX_DURATION,95,BEAR_TREND,"BEAR_TREND: state_conf=1.00, trend_strength=1.00, adx=16.2, hurst=1.00"
baseline,BT-202502100400-23,SHORT,2025-02-10T04:00:00+00:00,2025-02-11T04:00:00+00:00,96770.0,97565.4,0.05711833,98705.4,91931.5,-45.43191968,-0.00821949,-55.42203093,-0.01108441,MAX_DURATION,91,BEAR_TREND,"BEAR_TREND: state_conf=0.60, trend_strength=1.00, adx=14.6, hurst=1.00"
baseline,BT-202502112000-24,SHORT,2025-02-11T20:00:00+00:00,2025-02-12T16:45:00+00:00,94988.0,96887.76,0.0577116,96887.76,90238.6,-109.63818922,-0.02,-119.60432254,-0.02392086,STOP_LOSS,95,BEAR_TREND,"BEAR_TREND: state_conf=1.00, trend_strength=1.00, adx=12.5, hurst=1.00"
baseline,BT-202502142000-25,SHORT,2025-02-14T20:00:00+00:00,2025-02-15T20:00:00+00:00,97898.4,97497.0,0.05487598,99856.368,93003.48,22.02721837,0.00410017,12.37696012,0.00247539,MAX_DURATION,95,BEAR_TREND,"BEAR_TREND: state_conf=0.98, trend_strength=1.00, adx=19.2, hurst=1.00"
baseline,BT-202502190400-26,LONG,2025-02-19T04:00:00+00:00,2025-02-20T04:00:00+00:00,95672.2,97017.4,0.00514496,93758.756,100455.81,6.92100019,0.01406051,6.02875932,0.00120575,MAX_DURATION,95,BULL_TREND,"BULL_TREND: state_conf=1.00, trend_strength=1.00, adx=16.1, hurst=1.00"
