1764835200000000,90990.23000000,99000.00000000,90990.23000000,93306.00000000,0.02361000,1764836099999999,2261.57860880,11,0.01015000,1004.36941380,0
1764836100000000,93227.98000000,93241.93000000,93174.88000000,93175.05000000,0.01431000,1764836999999999,1333.95834040,16,0.01431000,1333.95834040,0
1764837000000000,93125.13000000,93182.61000000,93077.14000000,93182.61000000,0.02669000,1764837899999999,2486.08864690,29,0.02669000,2486.08864690,0
1764837900000000,93182.61000000,93182.61000000,93182.61000000,93182.61000000,0.00000000,1764838799999999,0.00000000,0,0.00000000,0.00000000,0
1764838800000000,93428.30000000,93428.30000000,93428.06000000,93428.06000000,0.00188000,1764839699999999,175.64497840,2,0.00188000,175.64497840,0
1764839700000000,93379.45000000,93398.23000000,93319.19000000,93385.73000000,0.01128000,1764840599999999,1053.23013540,13,0.01128000,1053.23013540,0
1764840600000000,93492.24000000,93494.58000000,93492.24000000,93494.58000000,0.00188000,1764841499999999,175.76766820,3,0.00188000,175.76766820,0
1764841500000000,93464.06000000,93512.70000000,93464.06000000,93512.70000000,0.00687000,1764842399999999,642.27025980,9,0.00576000,538.50620550,0
1764842400000000,93574.12000000,93574.12000000,93569.96000000,93569.96000000,0.00188000,1764843299999999,175.91543520,2,0.00188000,175.91543520,0
1764843300000000,93569.96000000,93569.96000000,93569.96000000,93569.96000000,0.00000000,1764844199999999,0.00000000,0,0.00000000,0.00000000,0
1764844200000000,93235.36000000,93235.36000000,93235.36000000,93235.36000000,0.00010000,1764845099999999,9.32353600,1,0.00000000,0.00000000,0
1764845100000000,93241.52000000,93532.51000000,93182.61000000,93182.61000000,0.00222000,1764845999999999,207.12041390,5,0.00116000,108.33293690,0
1764846000000000,93293.58000000,93293.58000000,93262.19000000,93262.19000000,0.00022000,1764846899999999,20.51925130,2,0.00022000,20.51925130,0
1764846900000000,93202.36000000,93202.36000000,92854.69000000,93162.38000000,0.00842000,1764847799999999,784.05646100,6,0.00054000,50.30768520,0
1764847800000000,92729.03000000,93071.91000000,92134.53000000,92267.67000000,0.07630000,1764848699999999,7083.06185960,22,0.07630000,7083.06185960,0
1764848700000000,92885.96000000,92970.97000000,92885.96000000,92970.97000000,0.00098000,1764849599999999,91.06321690,3,0.00098000,91.06321690,0
1764849600000000,92954.53000000,92954.53000000,92954.53000000,92954.53000000,0.00054000,1764850499999999,50.19544620,1,0.00054000,50.19544620,0
1764850500000000,92970.97000000,93120.07000000,92802.17000000,92828.44000000,0.18528000,1764851399999999,17252.69763990,9,0.18271000,17013.76224700,0
1764851400000000,92936.28000000,93105.39000000,92936.28000000,93105.39000000,0.00051000,1764852299999999,47.46947450,3,0.00051000,47.46947450,0
1764852300000000,93105.39000000,93105.39000000,93105.39000000,93105.39000000,0.00000000,1764853199999999,0.00000000,0,0.00000000,0.00000000,0
